Season,Squad,PublishedPlayers,TotalWageBill,% Estimated,KnownPlayerWageRecords,KnownPlayerWages,MeanKnownAnnualWage,MedianKnownAnnualWage,HighestKnownAnnualWage,LowestKnownAnnualWage,WageStdDev,Top5KnownWages,PlayerRecordDifference,KnownWageCoveragePct,WageReconciliationDifference,ImpliedUnlistedAnnualWage,ImpliedUnlistedWeeklyWage,HighestToMedianWageRatio,Top5KnownWageShare,ObservedWageRange,LowCoverageFlag,HighCoverageFlag,LargeReconciliationFlag,WageDataFlag
14/15,Sunderland,35,38626000.0,100%,26,38730000.0,1489615.3846153845,1300000.0,4160000.0,26000.0,940182.7940107425,13988000.0,9,100.26924869259048,-104000.0,,,3.2,0.3611670539633359,4134000.0,False,False,False,False
14/15,Hull City,35,36795000.0,100%,26,25615000.0,985192.3076923077,832000.0,2340000.0,31000.0,604778.1754812764,9620000.0,9,69.61543688001088,11180000.0,1242222.2222222222,23888.88888888889,2.8125,0.37556119461253173,2309000.0,True,False,True,True
14/15,Stoke City,30,36713000.0,100%,25,36729800.0,1469192.0,1560000.0,3380000.0,20800.0,794314.5188987378,12610000.0,5,100.0457603573666,-16800.0,,,2.1666666666666665,0.34331795980375607,3359200.0,False,False,False,False
14/15,West Brom,35,35490000.0,100%,25,32786000.0,1311440.0,1352000.0,2704000.0,26000.0,753292.8868198168,12064000.0,10,92.38095238095238,2704000.0,270400.0,5200.0,2.0,0.3679619349722443,2678000.0,False,False,False,False
14/15,Leicester City,37,33418000.0,100%,32,30844000.0,963875.0,1040000.0,2184000.0,21000.0,631669.2044662046,9464000.0,5,92.2975641869651,2574000.0,514800.0,9900.0,2.1,0.3068343924264038,2163000.0,False,False,False,False
14/15,Aston Villa,38,33119000.0,100%,26,31072600.0,1195100.0,1040000.0,2860000.0,20800.0,827540.4043308096,12558000.0,12,93.8210694767354,2046400.0,170533.33333333334,3279.4871794871797,2.75,0.40415028031127104,2839200.0,False,False,False,False
14/15,Newcastle,42,32733000.0,100%,30,32225800.0,1074193.3333333333,910000.0,3120000.0,20800.0,891283.191937268,11700000.0,12,98.4504933858797,507200.0,42266.666666666664,812.8205128205128,3.4285714285714284,0.3630631357483755,3099200.0,False,False,False,False
14/15,Crystal Palace,43,31704000.0,100%,30,29364000.0,978800.0,1040000.0,2080000.0,26000.0,548060.3037547274,8996000.0,13,92.61922785768357,2340000.0,180000.0,3461.5384615384614,2.0,0.3063615311265495,2054000.0,False,False,False,False
14/15,Swansea City,37,30019000.0,100%,26,21335000.0,820576.9230769231,754000.0,2444000.0,52000.0,667102.4013194331,9407000.0,11,71.07165461874146,8684000.0,789454.5454545454,15181.81818181818,3.2413793103448274,0.4409186782282634,2392000.0,True,False,True,True
14/15,Burnley,30,15581000.0,100%,26,14803800.0,569376.9230769231,637000.0,1040000.0,20800.0,304288.64889468666,4628000.0,4,95.01187343559462,777200.0,194300.0,3736.5384615384614,1.6326530612244898,0.31262243478025914,1019200.0,False,False,False,False
15/16,Manchester City,38,126956000.0,100%,33,126987600.0,3848109.090909091,4160000.0,9880000.0,20800.0,3198641.6320412126,42120000.0,5,100.02489051324868,-31600.0,,,2.375,0.33168592838985855,9859200.0,False,False,False,False
15/16,Manchester Utd,44,124573000.0,100%,39,123284200.0,3161133.3333333335,2340000.0,12480000.0,20800.0,3501399.319770773,49660000.0,5,98.96542589485684,1288800.0,257760.0,4956.923076923077,5.333333333333333,0.40280911909230865,12459200.0,False,False,False,False
