Season,Club,club_id,SummerSpend,SummerIncome,NetSpend,RecoveredIncomingFees,RecoveredOutgoingFees,InternalIncomingMoves,InternalOutgoingMoves,UnknownIncomingFees,UnknownOutgoingFees,NoFeeIncomingMoves,NoFeeOutgoingMoves,NotFoundIncomingFees,NotFoundOutgoingFees
13/14,Aston Villa,405,3500000.0,0.0,3500000.0,0,0,2,0,0,0,0,0,0,0
13/14,Hull,3008,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
13/14,West Brom,984,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
13/14,Norwich,1123,17800000.0,0.0,17800000.0,0,0,0,0,0,0,0,0,0,0
13/14,Fulham,931,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
13/14,Cardiff,603,11375000.0,0.0,11375000.0,0,0,1,0,0,0,0,0,0,0
14/15,Chelsea,631,2500000.0,37260000.0,-34760000.0,0,0,0,0,0,0,0,0,0,0
14/15,Man City,281,62500000.0,0.0,62500000.0,0,0,1,0,0,0,0,0,0,0
14/15,Arsenal,11,86730000.0,1900000.0,84830000.0,0,0,1,0,0,0,0,0,0,0
14/15,Man United,985,187750000.0,31000000.0,156750000.0,0,0,2,0,0,0,0,0,0,0
14/15,Tottenham,148,36150000.0,10350000.0,25800000.0,0,0,0,0,0,0,0,0,0,0
14/15,Liverpool,31,143930000.0,85970000.0,57960000.0,0,0,0,0,0,0,0,0,0,0
14/15,Southampton,180,49500000.0,114030000.0,-64530000.0,0,0,2,0,0,0,0,0,0,0
14/15,Swansea,2288,11990000.0,12650000.0,-660000.0,0,0,0,0,0,0,1,0,0,0
14/15,Stoke,512,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
14/15,Crystal Palace,873,0.0,1800000.0,-1800000.0,0,0,0,0,0,0,0,0,0,0
14/15,Everton,29,40160000.0,0.0,40160000.0,0,0,1,0,0,0,0,0,0,0
14/15,West Ham,379,27250000.0,0.0,27250000.0,0,0,0,0,0,0,0,0,0,0
14/15,West Brom,984,2400000.0,0.0,2400000.0,0,0,0,0,1,0,0,0,0,0
14/15,Leicester,1003,1260000.0,0.0,1260000.0,0,0,0,0,0,0,0,0,0,0
14/15,Newcastle,762,22000000.0,100000.0,21900000.0,0,0,1,0,0,0,0,0,0,0
14/15,Sunderland,289,1900000.0,500000.0,1400000.0,0,0,0,0,0,0,0,0,0,0
14/15,Aston Villa,405,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
14/15,Hull,3008,6750000.0,0.0,6750000.0,0,0,0,0,0,0,0,0,0,0
14/15,Burnley,1132,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
14/15,QPR,1039,15050000.0,0.0,15050000.0,0,0,0,0,0,0,0,0,0,0
15/16,Leicester,1003,27000000.0,3600000.0,23400000.0,0,0,1,0,0,0,0,0,0,0
15/16,Arsenal,11,0.0,2500000.0,-2500000.0,0,0,2,0,0,0,0,0,0,0
15/16,Tottenham,148,65000000.0,31250000.0,33750000.0,0,0,0,0,0,0,0,0,0,0
15/16,Man City,281,189450000.0,52000000.0,137450000.0,0,0,1,0,0,0,0,0,0,0
15/16,Man United,985,147000000.0,78970000.0,68030000.0,0,0,2,0,0,0,0,0,0,0
15/16,Southampton,180,51700000.0,52700000.0,-1000000.0,0,0,0,0,0,0,0,0,0,0
15/16,West Ham,379,26500000.0,0.0,26500000.0,0,0,2,0,0,0,0,0,0,0
15/16,Liverpool,31,32000000.0,72500000.0,-40500000.0,0,0,2,0,0,0,0,0,0,0
15/16,Stoke,512,25600000.0,19000000.0,6600000.0,0,0,0,0,0,0,0,0,0,0
15/16,Chelsea,631,75500000.0,21000000.0,54500000.0,0,0,1,0,0,0,0,0,0,0
15/16,Everton,29,19600000.0,0.0,19600000.0,0,0,0,0,0,0,0,0,0,0
15/16,Swansea,2288,1200000.0,0.0,1200000.0,0,0,0,0,0,0,0,0,0,0
15/16,Watford,1010,23800000.0,0.0,23800000.0,0,0,0,0,0,1,0,0,0,0
15/16,West Brom,984,25300000.0,0.0,25300000.0,0,0,0,0,0,0,0,0,0,0
15/16,Crystal Palace,873,4900000.0,0.0,4900000.0,0,0,0,0,0,0,0,0,0,0
15/16,Bournemouth,989,21300000.0,0.0,21300000.0,0,0,0,0,0,0,0,0,0,0
15/16,Sunderland,289,2800000.0,0.0,2800000.0,0,0,0,0,0,0,0,0,0,0
15/16,Newcastle,762,69210000.0,600000.0,68610000.0,0,0,0,0,0,0,0,0,0,0
15/16,Norwich,1123,9900000.0,0.0,9900000.0,0,0,0,0,0,0,0,0,0,0
15/16,Aston Villa,405,52000000.0,3800000.0,48200000.0,0,0,0,0,0,0,0,0,0,0
16/17,Chelsea,631,97800000.0,29000000.0,68800000.0,0,0,1,0,0,0,0,0,0,0
16/17,Tottenham,148,57000000.0,30500000.0,26500000.0,0,0,2,0,0,0,0,0,0,0
16/17,Man City,281,165250000.0,12500000.0,152750000.0,0,0,4,0,0,0,0,0,0,0
16/17,Liverpool,31,74900000.0,23580000.0,51320000.0,0,0,2,0,0,0,0,0,0,0
